Name,Description,AAR Codes,,,,,,,,,,,,
VT,Same as Class XM except cars contain tanks for liquid shipment.,,,,,,,,,,,,,
XA,Automobile car.  Internal height ten feet or more.  Single or double doors in the sides (with or without end doors). At least ten feet in width. Generally fifty feet in length.,,,,,,,,,,,,,
XAB,Same as Class XA except for height which is eight feet internally.,,,,,,,,,,,,,
XAP,Auto parts car. Similar to other auto box cars except is equipped with removable or permanent racks for the conveyance or storage of auto parts or bodies.,,,,,,,,,,,,,
XM,General use boxcar. Most are forty feet in length with single doors on either end or in either side.  May or may not have end doors. Internal height eight feet. Wood or steel construction. Not insulated.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
